# Program:featureCounts v1.6.2; Command:"featureCounts" "-T" "4" "-C" "-p" "-t" "gene" "-g" "Dbxref" "-a" "../O_europaea_v1_genomic.gff" "-o" "out_featuresCount_geneID.txt" "SRR1525051" "SRR1525052" "SRR1525086" "SRR1525087" "SRR1525113" "SRR1525114" "SRR1525213" "SRR1525214" "SRR1525224" "SRR1525226" "SRR1525436" "SRR1525437" 
Geneid	SRR1525051	SRR1525052	SRR1525086	SRR1525087	SRR1525113	SRR1525114	SRR1525213	SRR1525214	SRR1525224	SRR1525226	SRR1525436	SRR1525437
111401856	317	346	535	492	298	325	122	116	350	331	451	434
111401930	579	615	233	246	148	157	166	142	401	415	518	539
111402015	437	433	94	99	172	198	135	110	621	565	1349	1169
111402155	170	169	343	369	296	297	37	21	63	65	57	34
111402226	229	228	183	128	190	238	67	65	264	281	847	878
111402442	64	84	152	171	114	105	23	23	2	4	11	12
111399874	0	1	0	0	0	0	0	0	0	0	0	0
111365227	0	0	1	6	1	1	0	0	38	34	39	40
111402497	22	22	256	239	49	63	6	6	217	265	21	17
111399949	0	0	0	0	0	0	0	0	0	0	0	0
111397863	0	0	0	0	0	0	0	0	0	0	0	0
111402579	214	215	35	27	35	52	44	56	95	90	46	48
111400015	0	0	0	0	0	0	0	0	0	0	0	0
111400266	0	0	0	0	0	0	0	0	0	0	0	0
111402672	1713	1775	3551	3642	2043	2041	633	604	7208	7247	6044	5874
111400326	442	418	469	466	269	276	146	160	501	509	726	724
111402780	115	137	119	127	150	161	51	59	132	108	223	231
111402872	619	567	751	665	349	335	173	211	553	531	1238	1297
111400390	252	266	73	88	69	69	72	79	533	572	251	245
111402948	1456	1461	148	142	556	531	815	889	1453	1410	999	945
111403165	365	388	167	184	109	102	89	83	499	494	838	844
111400523	0	1	0	0	0	0	0	0	0	1	0	0
111403243	6	4	32	35	8	7	0	0	14	12	12	21
111403299	1172	1210	1897	2078	576	519	298	306	924	961	1751	1705
111403367	9615	9414	531	513	2348	2301	3870	4013	2148	2120	1916	1930
111403447	1252	1278	2270	2217	1284	1278	389	409	560	629	1156	1145
111403579	778	730	60	52	192	175	447	415	517	516	895	951
111403744	781	769	517	523	596	607	244	240	520	492	660	702
111403924	64	70	171	155	88	92	31	27	17	11	85	85
111403997	7	5	2	2	0	7	2	1	4	2	4	4
111404072	1489	1467	2836	2876	1586	1580	346	352	814	777	1288	1258
111404334	603	565	875	825	531	527	97	111	284	277	714	708
111400658	1106	1085	642	642	845	860	246	271	1479	1503	1885	1845
111404405	320	339	375	349	215	226	109	113	311	314	395	414
111404478	879	823	778	840	406	410	219	218	1355	1488	1482	1471
111404590	81	65	301	323	63	48	13	14	356	353	470	492
111404649	352	343	98	95	113	71	40	29	129	127	194	197
111404723	927	923	951	956	1002	953	192	171	817	816	1118	1041
111405414	19	16	63	80	31	38	8	6	66	89	159	153
111404917	325	342	480	469	118	149	109	110	394	320	646	696
111405121	1401	1387	1311	1436	1103	1087	413	374	878	915	1594	1530
111405348	31	46	77	83	23	22	13	11	271	297	261	272
111405486	79	59	110	104	32	30	16	17	456	490	356	362
111405416	124	148	139	119	136	145	25	22	451	398	397	447
111400812	0	0	0	1	4	1	0	0	1	1	0	0
111405608	2482	2458	1280	1297	750	732	796	779	2914	3035	3321	3383
111405684	4	2	1	2	1	1	0	0	2	3	4	4
111405728	637	661	831	924	414	389	336	384	644	648	885	892
111405810	619	580	536	542	404	389	116	115	346	307	612	596
111406081	495	512	953	939	685	736	201	219	601	648	642	602
111406412	3	6	7	2	3	0	2	0	22	20	69	68
111400887	30	22	0	0	0	0	0	0	136	131	79	99
111406485	420	416	435	486	292	253	87	68	527	489	820	787
111406605	44	48	77	80	31	32	7	11	67	55	177	168
111406865	1024	1044	513	493	511	510	331	300	1182	1193	1167	1078
111406941	1039	1082	1545	1565	808	822	357	325	1240	1224	1727	1714
111407265	729	695	152	154	261	205	130	106	603	588	507	483
111407392	172	218	118	139	175	167	85	93	795	827	991	871
111407566	19	13	44	29	29	28	7	10	16	15	9	7
111407636	544	586	525	532	113	124	244	223	303	292	712	699
111407716	719	783	715	686	706	734	209	186	417	431	1246	1186
111407784	196	223	265	303	164	155	63	62	443	439	723	696
111407998	44	49	50	58	42	29	6	3	143	153	289	282
111407916	631	592	89	69	113	121	352	349	549	571	1110	1101
111401113	0	0	0	0	0	0	0	0	0	0	0	0
111408129	175	181	189	170	93	104	23	27	582	626	440	458
111401182	3	2	0	0	2	2	0	0	13	22	2	1
111401256	0	0	2	1	0	0	0	0	1	0	1	0
111408311	21	19	8	4	4	8	6	3	9	4	26	27
111408443	356	362	13	19	146	150	188	174	211	224	259	252
111408541	4	2	0	0	0	0	1	0	0	5	0	1
111408609	181	169	427	508	196	159	63	60	194	159	495	484
111408734	451	440	51	78	74	63	571	549	521	484	600	598
111401334	9	9	0	1	1	2	3	2	4	10	7	11
111408822	1	0	0	0	0	0	0	0	1	1	0	0
111408891	248	219	105	108	185	184	73	100	120	129	319	274
111409020	325	321	24	24	291	261	52	50	212	201	174	169
111409297	83	82	31	24	22	27	39	40	93	102	212	211
111409371	390	415	554	498	260	267	106	141	425	421	784	761
111407868	0	0	0	0	0	0	0	0	0	0	0	0
111409163	1077	1132	3968	4050	3423	3376	603	581	1842	1813	2633	2617
111407901	0	0	0	0	0	0	0	0	0	0	0	0
111409600	102	88	96	78	71	49	12	16	62	36	264	247
111409796	65	99	77	63	50	46	37	36	111	119	244	268
111409917	56	60	65	64	34	48	15	14	125	118	192	223
111410099	570	563	931	1058	948	947	148	132	499	515	585	658
111410490	101	84	149	119	59	71	40	47	196	207	341	322
111410609	386	320	41	35	132	123	81	85	313	326	661	698
111401554	0	0	0	0	0	0	0	0	0	0	0	0
111410739	21	18	27	45	18	23	7	1	59	63	46	52
